iter	RMSE
0	1.366906581
1	1.337469096
2	1.311201948
3	1.286105705
4	1.261685498
5	1.242367212
6	1.22057748
7	1.201130527
8	1.182534951
9	1.16350019
10	1.1488628
11	1.133825781
12	1.120979165
13	1.10936294
14	1.095785778
15	1.083047209
16	1.07191812
17	1.0594554
18	1.045632885
19	1.037067856
20	1.025891913
21	1.015054036
22	1.0069928
23	0.997304001
24	0.9905089824
25	0.9811698872
26	0.975093091
27	0.9665241697
28	0.9583341887
29	0.9484918462
30	0.9421263273
31	0.9372223743
32	0.9278069023
33	0.9179843954
34	0.9118379453
35	0.9033071358
36	0.8968887108
37	0.889137341
38	0.8847834822
39	0.8782905353
40	0.8732604575
41	0.8686303132
42	0.8621637859
43	0.8557821539
44	0.8489820012
45	0.8428783354
46	0.8365294594
47	0.8300092619
48	0.8232132052
49	0.8191202583
50	0.8146801063
51	0.8115219602
52	0.8059282338
53	0.803826633
54	0.797852913
55	0.7930113979
56	0.7876237155
57	0.7835730931
58	0.779365508
59	0.7723030581
60	0.7670895708
61	0.762773264
62	0.757182697
63	0.7528487752
64	0.7485355473
65	0.7444716591
66	0.7400352834
67	0.7334242612
68	0.7304735482
69	0.7272189021
70	0.7226327787
71	0.7176944412
72	0.7126132826
73	0.7102315645
74	0.7062797329
75	0.7033037651
76	0.6997041113
77	0.6962612928
78	0.6932426905
79	0.6885959571
80	0.6843442591
81	0.6809201778
82	0.6784841299
83	0.6749691911
84	0.6706437993
85	0.6663892396
86	0.6637509612
87	0.6597367026
88	0.6561327223
89	0.6523081606
90	0.6496258632
91	0.6471509094
92	0.6438335468
93	0.6404852637
94	0.637735746
95	0.6345040112
96	0.6317671205
97	0.6284149075
98	0.624352722
99	0.6216947426
100	0.6192531483
101	0.6159067857
102	0.613649271
103	0.6112044562
104	0.6098126877
105	0.6066245915
106	0.6035386202
107	0.5998783903
108	0.5970027016
109	0.5947060643
110	0.5923789312
111	0.5895745249
112	0.5868285765
113	0.5844819569
114	0.5824485936
115	0.5790695493
116	0.5772959236
117	0.5745418472
118	0.5705633136
119	0.5670117364
120	0.5645546561
121	0.5626374917
122	0.5606935798
123	0.5580747956
124	0.5544980018
125	0.5532744063
126	0.5505914226
127	0.5490015937
128	0.5470345725
129	0.5444846174
130	0.5419847798
131	0.5411026818
132	0.5391558467
133	0.5364293277
134	0.5349407114
135	0.5335286974
136	0.5319984356
137	0.5300095504
138	0.5284252212
139	0.5264732833
140	0.525016834
141	0.523800287
142	0.5215989124
143	0.5193402462
144	0.5166948494
145	0.5133678149
146	0.5105636315
147	0.5086547781
148	0.5074728916
149	0.5042058522
150	0.5025944804
151	0.5000341992
152	0.4984800707
153	0.4969421568
154	0.4943717592
155	0.4921909785
156	0.491185747
157	0.4889956194
158	0.4862442644
159	0.4848452336
160	0.4826465366
161	0.4811787018
162	0.4797874961
163	0.4768867978
164	0.4754764631
165	0.4743712891
166	0.4725532637
167	0.4710718739
168	0.469637369
169	0.467890095
170	0.4667880285
171	0.4658310698
172	0.4639260033
173	0.4630911847
174	0.4618682392
175	0.4610966222
176	0.4598740361
177	0.4585324989
178	0.4560981267
179	0.455174464
180	0.4533024834
181	0.4518142174
182	0.4509817758
183	0.44917767
184	0.4472353954
185	0.4458734908
186	0.4444677593
187	0.4434268553
188	0.4421881331
189	0.4413354839
190	0.4403369043
191	0.4385101464
192	0.4369260496
193	0.435954651
194	0.4348018842
195	0.4339642742
196	0.4326949108
197	0.430913728
198	0.4292783775
199	0.4276357257
200	0.4260445442
201	0.4247453277
202	0.4236315054
203	0.4228324108
204	0.4217609862
205	0.419826684
206	0.4181362314
207	0.4166224858
208	0.415116729
209	0.4139339582
210	0.4130999042
211	0.4121882276
212	0.4112123235
213	0.410532599
214	0.4098267566
215	0.4083383052
216	0.4070449102
217	0.4053851293
218	0.4039228807
219	0.402296251
220	0.4008175587
221	0.3997968826
222	0.3984980389
223	0.3977852277
224	0.3969443077
225	0.3955623132
226	0.394996416
227	0.3934477919
228	0.3920047979
229	0.3902690868
230	0.389536127
231	0.3882146328
232	0.387672073
233	0.3868383686
234	0.3853562844
235	0.3843177358
236	0.3835970217
237	0.3821645751
238	0.3813188301
239	0.3804509958
240	0.3795482449
241	0.3784155609
242	0.3773059146
243	0.3755751226
244	0.3748352242
245	0.3736759874
246	0.3722588013
247	0.3717907691
248	0.3713180359
249	0.3705391607
250	0.369193139
251	0.3682137131
252	0.367343516
253	0.3666187169
254	0.3661102708
255	0.3654588229
256	0.3643140634
257	0.3632510588
258	0.3628338189
259	0.3617363777
260	0.361168954
261	0.3605835388
262	0.3594150852
263	0.3588546835
264	0.3577920475
265	0.35727267
266	0.3567702731
267	0.3562647349
268	0.3553844945
269	0.3550334841
270	0.3540175178
271	0.3535459064
272	0.3526322602
273	0.3515466707
274	0.3505625441
275	0.3498203905
276	0.3490512836
277	0.3485842636
278	0.3481479912
279	0.3476895879
280	0.3466913822
281	0.3458838873
282	0.3454849849
283	0.3449737033
284	0.3440954977
285	0.3431745988
286	0.3420587726
287	0.3416394493
288	0.3409857746
289	0.3405394078
290	0.3397689731
291	0.3392391198
292	0.3382323389
293	0.3377750338
294	0.3370357221
295	0.3366405002
296	0.3358455582
297	0.3354232394
298	0.3348701582
299	0.3340242316
300	0.3332758902
301	0.332924555
302	0.3321824925
303	0.3317512385
304	0.3313636193
305	0.3309944036
306	0.3303251295
307	0.3298780579
308	0.3294680884
309	0.3290126483
310	0.3286092797
311	0.3280248851
312	0.3275065098
313	0.3270840239
314	0.3263249456
315	0.3256115874
316	0.324772274
317	0.3244138531
318	0.3236339651
319	0.3231253601
320	0.3224837854
321	0.3217855311
322	0.3210785896
323	0.3204927831
324	0.3197002608
325	0.3193786511
326	0.3190359184
327	0.3184695007
328	0.3178643394
329	0.3172497242
330	0.3169618115
331	0.3165833354
332	0.3163503808
333	0.3156702171
334	0.3150741326
335	0.3145137649
336	0.3139464169
337	0.3136369064
338	0.3131418237
339	0.3123997124
340	0.3119212174
341	0.3113697637
342	0.3110336206
343	0.3105761931
344	0.3100259861
345	0.3095409129
346	0.3092492779
347	0.3086493757
348	0.3083967479
349	0.3081757628
350	0.3079001314
351	0.3073906776
352	0.3068992821
353	0.3063540297
354	0.3060556229
355	0.3058031869
356	0.3053239508
357	0.3048294228
358	0.3046152023
359	0.3043914376
360	0.3039982215
361	0.3035061076
362	0.3033034733
363	0.3027812933
364	0.302586595
365	0.3023080182
366	0.3021169244
367	0.3015741412
368	0.3012116035
369	0.3007998065
370	0.3005762029
371	0.3002612472
372	0.299855331
373	0.2996579295
374	0.299353905
375	0.2988736258
376	0.2984341451
377	0.2979681664
378	0.2975063853
379	0.2972977333
380	0.2968819933
381	0.2966283525
382	0.2962081562
383	0.2957210578
384	0.2955664479
385	0.2953110505
386	0.2951223284
387	0.2949317565
388	0.2947105037
389	0.2943552414
390	0.2939630819
391	0.2935953419
392	0.2931596986
393	0.2929754642
394	0.2924587922
395	0.2921454614
396	0.2917403801
397	0.2915807076
398	0.2911718418
399	0.2910170541
400	0.2905792025
401	0.2902019847
402	0.2900233307
403	0.2896686057
404	0.2893241768
405	0.2889376298
406	0.2886312257
407	0.2884386388
408	0.2881417109
409	0.2879508741
410	0.2876922402
411	0.2874873689
412	0.2870731079
413	0.2867696077
414	0.2865517737
415	0.286151434
416	0.2857365754
417	0.2853242168
418	0.2850055275
419	0.2848481536
420	0.2845554699
421	0.2844041692
422	0.2841243987
423	0.2838162844
424	0.2836155198
425	0.2834002413
426	0.2831402328
427	0.2828440892
428	0.2824684834
429	0.2823309267
430	0.2820493564
431	0.2818475496
432	0.2816670189
433	0.2814401085
434	0.2811251689
435	0.2808290771
436	0.2805494673
