Model,Split,RMSE,MAE,R2
Random Forest,Train,0.21589258551366153,0.09967757491474177,0.9760719602634123
Random Forest,Val,0.32310168317537186,0.1505637117404051,0.9458471476099032
Extra Trees,Train,0.24032872348473355,0.1148830337489642,0.9703487486877141
Extra Trees,Val,0.3608969860052725,0.17322635305244424,0.9324369251487619
Gradient Boosting,Train,0.19449253207333256,0.11862746453371976,0.9805805231027593
Gradient Boosting,Val,0.31753100269720336,0.1656644889685501,0.9476983770079279
XGBoost,Train,0.13510438699854654,0.08573136671610865,0.9906293316170742
XGBoost,Val,0.2917152798476073,0.1506125730585803,0.9558570602871264
LightGBM,Train,0.13612642814524212,0.0777935848860395,0.9904870204185953
LightGBM,Val,0.30111709610338616,0.15155267797116484,0.9529658041409846
CatBoost,Train,0.26675348754623335,0.15605776692921725,0.9634698144125918
CatBoost,Val,0.33332332076343085,0.18242296562026653,0.9423665926933323
