Model,Split,RMSE,MAE,R2
Linear Regression,Train,0.8047596643941112,0.4913500799377009,0.667521116045082
Linear Regression,Val,0.8287684785882643,0.5024551807370102,0.643705313462342
Ridge (α=1.0),Train,0.8049493994061855,0.4909385945685015,0.6673643230937091
Ridge (α=1.0),Val,0.828927043380682,0.5018932644638673,0.6435689636878958
Lasso (α=0.1),Train,1.2361973249305496,0.8073446955674706,0.2154741369868931
Lasso (α=0.1),Val,1.232742366571233,0.8083504583195569,0.21170723581655626
ElasticNet,Train,1.1567626329069152,0.7444796600502681,0.3130578444148996
ElasticNet,Val,1.1569828313904427,0.7465509987964842,0.30562076485521283
Decision Tree,Train,0.5525056782788665,0.3192536258482096,0.8432869518690768
Decision Tree,Val,0.5930077741443834,0.3516268256059588,0.8175836884926888
KNN (k=10),Train,0.9418366696491296,0.576482287165207,0.5446106633052957
KNN (k=10),Val,1.0559724262711576,0.6544376162552996,0.4215736722146295
SVR (RBF),Train,0.9092349113281577,0.4263500854122071,0.5755916969418904
SVR (RBF),Val,0.9176490408959717,0.43583410248990245,0.5631864253295272
