Crop_Year,Decade,log_Area,log_Production,Annual_Rainfall,log_Fertilizer,log_Pesticide,Fertilizer_Per_Ha,Pesticide_Per_Ha,log_Fertilizer_Per_Ha,log_Pesticide_Per_Ha,Production_Per_Rainfall,Crop_enc,Season_enc,State_enc,Rainfall_Category_enc
2004,2000,8.76732914779405,8.279697133877628,1034.0,13.452449264638773,7.207267103187495,108.33999998312461,0.2099999999672897,4.694462293312514,0.19062035958161644,3.8123791065644297,16,2,24,2
1997,1990,9.722864552377755,9.264260213965613,1852.9,14.278470047913261,8.551814883728396,95.16999999429915,0.30999999998143046,4.566117458665111,0.27002713719888494,5.695396402560636,53,2,29,0
2012,2010,10.493438540267624,12.140931276049383,746.3,15.50936546154423,9.3223172511477,150.79999999582003,0.30999999999140726,5.022563864933994,0.2700271372065008,251.0866940223949,14,2,27,1
2016,2010,10.943074980753622,10.520131587109958,912.4,15.97512799075603,9.893285690051531,153.24999999729047,0.34999999999381187,5.038574662767932,0.30010459244575427,40.61047781607795,1,1,24,1
1998,1990,3.9512437185814275,3.1780538303479458,6552.7,8.525121677738358,2.7593768282675506,98.79999806274515,0.2899999943137256,4.603168163906047,0.2546422139656161,0.0035100035094678523,23,1,17,3
2017,2010,9.733410722158611,9.942131176128333,2098.563636,14.79239626039174,8.765923394572988,157.439999990668,0.37999999997747613,5.065375972694817,0.32208349915279166,9.905346511062225,52,4,2,3
2019,2010,9.726452000171411,10.245586785022473,1194.7,14.87249081578794,8.732301345221527,171.7599999897481,0.36999999997791566,5.151903348033159,0.31481073982391355,23.568259794451944,1,1,3,2
2015,2010,13.790071717014765,14.389704706188576,596.7,18.852095948158553,12.681411175105117,157.90999998958034,0.32999999999966145,5.068338004158975,0.28517894223340784,2975.863913229656,2,1,27,1
2010,2010,12.944099975151225,13.810207521689996,1317.7,18.056747818760968,11.516991188702955,166.10999999960293,0.2399999999994263,5.118652278212915,0.21511137961648283,754.8835085718422,11,1,12,2
2001,2000,14.648366201208495,16.060148796969344,483.8,19.274612282335074,13.301293790765495,102.13000000865172,0.259999999999887,4.635990328411869,0.23111172096329693,19505.994172166196,54,2,8,4
1999,1990,9.220389707829185,7.972810784121404,1166.5,13.88495639351418,7.911324018963353,106.12999998949208,0.2699999999732673,4.674043050176381,0.23901690044945054,2.486069436359992,40,2,15,2
2001,2000,7.95892649305011,8.072779333169498,2372.5,12.584826838979263,6.612847161438617,102.1299999642902,0.25999999990909095,4.635990327981718,0.23111172089123658,1.3508956790934055,34,1,23,3
2001,2000,12.684094046369493,12.641319831922806,849.9,17.310337488264057,11.337029221567937,102.12999999968339,0.259999999999194,4.635990328324907,0.23111172096274693,363.65219394793246,20,1,27,1
2018,2010,2.1972245773362196,1.3862943611198906,1052.2,7.169042040074387,1.33500106673234,162.19997972500255,0.34999995625000546,5.094976318295946,0.3001045600429342,0.0028511689765717834,43,1,9,2
2009,2000,9.002454823050954,11.013913122156428,992.5,14.051033993306413,7.23109885348798,155.81999998081506,0.1699999999790692,5.0550986506804385,0.1570037487917752,61.17078079479015,13,4,16,1
2010,2010,10.67961926320976,11.899010656427478,1297.0,15.79224661183404,9.25257576717494,166.10999999617786,0.23999999999447766,5.118652278192419,0.21511137961249202,113.4309945154734,13,2,0,2
2014,2010,9.153770020487789,9.80493712880685,3484.4,14.170679796897954,8.045322219771405,150.9599999840237,0.3299999999650757,5.02361732821429,0.28517894220740353,5.200895418091811,7,4,17,3
2017,2010,8.85879510585745,8.331345424845724,3326.8,13.917698305712866,7.891442942842344,157.43999997762046,0.3799999999459844,5.0653759726124665,0.32208349912997153,1.2477455809643665,44,1,26,3
2017,2010,5.1647859739235145,4.941642422609304,2664.8,10.218136235450027,4.206482062158951,157.43999909517242,0.379999997816092,5.065375967042863,0.3220834975865713,0.05216151303956713,20,4,13,3
2012,2010,1.9459101490553132,2.8903717578961645,1098.3,6.808818531122114,1.0508216248317612,150.79997486667085,0.30999994833334193,5.022563699392813,0.2700270977728624,0.015478466707203434,17,1,21,2
2017,2010,12.33885813503812,11.828546095738151,800.0,17.397898217877156,11.371281252235155,157.4399999993107,0.3799999999983362,5.065375972749365,0.32208349916790774,171.3874997857656,27,1,14,1
2010,2010,10.157315485981332,10.316358502904885,1096.0,15.26992714700431,8.730321961800417,166.10999999355613,0.23999999999068974,5.1186522781767305,0.21511137960943721,27.574817493088666,22,2,29,2
2001,2000,1.8718021769015913,1.6094379124341003,2406.4,6.332773283272492,0.8878912573524571,102.12998143091247,0.2599999527272813,4.635990148272812,0.2311116834453552,0.001662234041862436,27,1,18,3
2019,2010,3.6109179126442243,3.1780538303479458,1593.9,8.729778803320581,2.6616571615324998,171.759995228889,0.36999998972222253,5.151903320475511,0.31481073233800616,0.014430014420961153,19,3,20,0
