Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Fertilizer_Per_Ha,Pesticide_Per_Ha,Rainfall_Category,Decade,Production_Per_Rainfall,log_Area,log_Production,log_Fertilizer,log_Pesticide,log_Fertilizer_Per_Ha,log_Pesticide_Per_Ha,Crop_enc,Season_enc,State_enc,Rainfall_Category_enc
Arecanut,1997,Whole Year,Assam,73814.0,56708,2051.4,7024878.38,22882.34,0.796086957,95.16999999871068,0.3099999999958003,Very High,1990,27.64356048179606,11.209317241968188,10.945688207278275,15.764968602929914,10.038164413860812,4.566117458710984,0.2700271372098543,0,4,2,3
Arhar/Tur,1997,Kharif,Assam,6637.0,4685,2051.4,631643.29,2057.47,0.710434783,95.1699999856607,0.3099999999532921,Very High,1990,2.2838061800312928,8.80056599227992,8.452334619067742,13.356081682400971,7.629718267385035,4.566117458575286,0.2700271371774053,1,1,2,3
Castor Seed,1997,Kharif,Assam,796.0,22,2051.4,75755.32,246.76,0.238333333,95.1699998804397,0.30999999961055275,Very High,1990,0.010724383342729656,6.680854678790215,3.1354942159291497,11.235277152234566,5.512460535664947,4.566117457481172,0.2700271369157722,8,1,2,3
Cotton(Lint),1997,Kharif,Assam,1739.0,794,2051.4,165500.63,539.09,0.420909091,95.16999994527315,0.30999999982173665,Very High,1990,0.38705274427851577,7.461640392208575,6.678342114654332,12.016736322693353,6.291735792337641,4.566117458155326,0.2700271370769813,11,1,2,3
Dry Chillies,1997,Whole Year,Assam,13587.0,9073,2051.4,1293074.79,4211.97,0.643636364,95.16999999299551,0.3099999999771841,Very High,1990,4.422833184935735,9.516942329280475,9.113168460223909,14.07253427165875,8.345923141137144,4.566117458651556,0.2700271371956434,13,4,2,3
Gram,1997,Rabi,Assam,2979.0,1507,2051.4,283511.43,923.49,0.465454545,95.16999996805303,0.30999999989593824,Very High,1990,0.7346202589769815,7.9996785794994505,7.318539548567902,12.555011245985966,6.829242234111026,4.566117458392198,0.27002713713362375,16,2,2,3
Linseed,1997,Rabi,Assam,10098.0,5158,2051.4,961026.66,3130.38,0.461363636,95.16999999057536,0.30999999996930083,Very High,1990,2.5143804218999803,9.220191688026556,8.54849804124465,13.77575847005643,8.049229080937437,4.56611745862639,0.2700271371896257,23,2,2,3
Maize,1997,Kharif,Assam,19216.0,14721,2051.4,1828786.72,5956.96,0.615652174,95.16999999504735,0.3099999999838676,Very High,1990,7.176074872196512,9.863550582932428,9.59709825261865,14.419163857214487,8.692483419588388,4.566117458672892,0.2700271372007454,24,1,2,3
Mesta,1997,Kharif,Assam,5915.0,29003,2051.4,562930.55,1833.65,4.568947368,95.1699999839104,0.30999999994759087,Very High,1990,14.138149549508556,8.68541582383069,10.275189030491484,13.240913318913229,7.514609006601482,4.566117458557087,0.2700271371730532,26,1,2,3
Niger Seed,1997,Whole Year,Assam,9914.0,5076,2051.4,943515.38,3073.34,0.482352941,95.16999999040044,0.30999999996873107,Very High,1990,2.4744077203498063,9.201804040953895,8.532475814947395,13.757369004530345,8.030845523057073,4.566117458624571,0.27002713718919075,29,4,2,3
